     161       2  0.38894005D+01 -0.53391420D+00  0.39291517D+01  0.97375162D+02  0.76491040D+02  0.73464573D+02
     162       4  0.17477493D+01 -0.22301624D+01  0.28334174D+01  0.20733752D+02  0.90838024D+02  0.94539508D+02
     162       5 -0.23794466D+01 -0.12346311D+01  0.26818782D+01  0.20665553D+02  0.94626361D+02  0.96840689D+02
     162       7  0.28491037D+01  0.19518653D+00  0.28558298D+01  0.20857518D+02  0.86221061D+02  0.85791821D+02
     164       4  0.15864383D+01  0.12152956D+01  0.24840722D+01  0.70752188D+02  0.11656373D+03  0.63125780D+02
     164       7  0.21858043D+01  0.23179642D+00  0.24199168D+01  0.70829494D+02  0.49240642D+02  0.87309403D+02
     167       2 -0.18842579D+01 -0.15096537D+01  0.26671484D+01  0.93855436D+02  0.23842216D+02  0.65231270D+02
     177       3  0.11661569D+01  0.19969113D+01  0.23943466D+01  0.76096810D+02  0.12933156D+03  0.12726521D+03
     177       6  0.15787752D+01  0.10949090D+01  0.24213203D+01  0.75985920D+02  0.10593014D+03  0.11387039D+03
     180       6  0.81634262D+00  0.19297182D+01  0.24555645D+01  0.64248885D+02  0.10409337D+03  0.13132065D+03
     180       7  0.56884019D+00 -0.21084237D+01  0.22776298D+01  0.64478999D+02  0.50120755D+02  0.59177403D+02
     184       3  0.23610882D+00 -0.31430669D+01  0.31641960D+01  0.42337780D+02  0.64423675D+02  0.64933819D+02
     184       6  0.30252010D+01  0.12032028D+01  0.32964642D+01  0.42197756D+02  0.11165986D+03  0.12409362D+03
     184       7  0.21696484D+01  0.24273069D+01  0.32645133D+01  0.42704338D+02  0.65582105D+02  0.73724888D+02
     185       2  0.26053082D+01  0.22600805D+01  0.34575098D+01  0.41608759D+02  0.10162807D+03  0.97535985D+02
     185       3  0.12396735D+00  0.30986266D+01  0.31066652D+01  0.41825072D+02  0.73796300D+02  0.75735219D+02
     185       4 -0.10883059D+01  0.28741225D+01  0.30832597D+01  0.41866037D+02  0.73096946D+02  0.69351178D+02
     185       6 -0.19073451D+01 -0.23097232D+01  0.30040137D+01  0.41709664D+02  0.10459682D+03  0.11328768D+03
     185       7 -0.28041605D+01 -0.10862445D+01  0.30090915D+01  0.42388880D+02  0.74514304D+02  0.79183674D+02
     188       2  0.25308988D+01  0.16568292D+01  0.30268292D+01  0.30614859D+02  0.12410714D+03  0.12454421D+03
     195       2 -0.10657707D+01 -0.13158535D+01  0.17489516D+01  0.73753090D+02  0.75974947D+02  0.73936973D+02
     195       4  0.17272451D+01  0.23434475D+00  0.18603126D+01  0.73791577D+02  0.88039673D+02  0.11751379D+03
     197       3  0.31737322D+01 -0.62888889D+00  0.32354655D+01  0.29591664D+02  0.85300672D+02  0.85524855D+02
     197       4 -0.18942489D+01  0.21906701D+01  0.29016576D+01  0.29612016D+02  0.83202988D+02  0.82755402D+02
     197       6 -0.60320122D+00  0.31377891D+01  0.31962289D+01  0.29505840D+02  0.92772299D+02  0.93732551D+02
     197       7 -0.10446753D+01 -0.28470857D+01  0.30339691D+01  0.29956307D+02  0.92937979D+02  0.92816236D+02
     198       3  0.12886559D+01  0.19442073D+01  0.23518837D+01  0.58741862D+02  0.49132608D+02  0.43282914D+02
     198       4  0.46242014D+00  0.21068123D+01  0.22485685D+01  0.58735985D+02  0.13091269D+03  0.11054883D+03
     198       5 -0.83209654D+00  0.21649594D+01  0.23283452D+01  0.58667248D+02  0.48357153D+02  0.49831392D+02
