a+b
    2015       3      18       3      22

L = 2.00
alpha0 (deg) / E (MeV) / j0, sigma (cm2.sr.s.MeV)^-1
     176.4    5.08e-01    0.00e+00    5.85e-01    0.00e+00    5.08e-01    0.00e+00    5.85e-01    0.00e+00

L = 2.40
alpha0 (deg) / E (MeV) / j0, sigma (cm2.sr.s.MeV)^-1
                 26.00                   34.00                   42.00                   58.00
       3.6    8.20e-01    0.00e+00    8.30e-01    0.00e+00    8.20e-01    0.00e+00    8.30e-01    0.00e+00
      10.8    4.75e-01    2.11e-01    5.99e-02    0.00e+00    8.83e-02    6.09e-02    3.00e-02    0.00e+00
      18.0    9.26e-01    4.47e-01    1.79e-01    3.48e-02    1.03e-01    6.82e-02    4.33e-02    2.01e-02
      25.2    1.72e+00    7.00e-01    3.63e-01    1.14e-01    9.83e-02    6.39e-02    4.61e-02    2.49e-02
      32.4    2.67e+00    1.28e+00    6.09e-01    1.58e-01    1.01e-01    7.11e-02    4.82e-02    2.46e-02
      39.6    4.32e+00    1.67e+00    1.06e+00    2.82e-01    1.38e-01    8.45e-02    6.79e-02    3.61e-02
      46.8    6.43e+00    2.48e+00    1.49e+00    5.93e-01    1.97e-01    1.21e-01    9.27e-02    5.93e-02
      54.0    9.33e+00    3.48e+00    2.44e+00    1.39e+00    2.53e-01    1.54e-01    1.29e-01    9.94e-02
      61.2    1.31e+01    4.41e+00    3.01e+00    2.00e+00    3.52e-01    2.01e-01    1.69e-01    1.37e-01
      68.4    1.89e+01    6.24e+00    3.93e+00    2.74e+00    5.61e-01    3.17e-01    2.48e-01    2.07e-01
      75.6    2.22e+01    7.52e+00    4.20e+00    4.06e+00    7.32e-01    4.20e-01    3.08e-01    3.10e-01
      82.8    2.72e+01    7.57e+00    6.06e+00    4.45e+00    1.25e+00    6.44e-01    5.76e-01    4.85e-01
      90.0    1.93e+01    9.52e+00    2.85e+00    4.74e+00    3.01e+00    2.24e+00    1.08e+00    1.67e+00
      97.2    2.64e+01    9.37e+00    5.17e+00    4.14e+00    1.26e+00    7.43e-01    5.28e-01    4.84e-01
     104.4    2.30e+01    7.37e+00    5.02e+00    3.62e+00    7.51e-01    4.14e-01    3.43e-01    2.93e-01
     111.6    1.87e+01    5.61e+00    3.75e+00    2.82e+00    5.53e-01    3.01e-01    2.44e-01    2.17e-01
     118.8    1.29e+01    4.19e+00    2.99e+00    2.13e+00    3.45e-01    1.95e-01    1.67e-01    1.44e-01
     126.0    9.55e+00    3.11e+00    2.30e+00    1.37e+00    2.59e-01    1.46e-01    1.25e-01    1.00e-01
     133.2    6.14e+00    2.74e+00    1.67e+00    7.13e-01    1.89e-01    1.28e-01    9.86e-02    6.53e-02
     140.4    4.15e+00    1.74e+00    1.11e+00    3.35e-01    1.34e-01    8.56e-02    6.86e-02    3.92e-02
     147.6    2.62e+00    1.16e+00    5.68e-01    2.07e-01    1.00e-01    6.66e-02    4.65e-02    2.84e-02
     154.8    1.68e+00    7.31e-01    3.90e-01    5.01e-02    9.56e-02    6.38e-02    4.69e-02    1.67e-02
     162.0    1.04e+00    4.11e-01    1.56e-01    2.88e-02    1.11e-01    6.94e-02    4.50e-02    2.03e-02
     169.2    2.79e-01    2.10e-01    1.85e-01    0.00e+00    6.98e-02    6.05e-02    5.58e-02    0.00e+00
     176.4    4.89e+00    0.00e+00    0.00e+00    0.00e+00    4.89e+00    0.00e+00    0.00e+00    0.00e+00

L = 2.50
alpha0 (deg) / E (MeV) / j0, sigma (cm2.sr.s.MeV)^-1
                 26.00                   34.00                   42.00                   58.00
       3.6    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00
      10.8    1.11e-01    1.29e-01    4.01e-02    0.00e+00    4.97e-02    5.26e-02    2.84e-02    0.00e+00
      18.0    2.23e-01    1.29e-01    4.46e-02    0.00e+00    4.07e-02    3.46e-02    1.82e-02    0.00e+00
      25.2    5.37e-01    1.38e-01    3.08e-02    0.00e+00    5.66e-02    2.52e-02    1.16e-02    0.00e+00
      32.4    9.38e-01    2.51e-01    1.48e-01    1.94e-02    6.40e-02    3.16e-02    2.58e-02    9.69e-03
      39.6    1.55e+00    6.72e-01    2.33e-01    6.44e-02    9.53e-02    6.08e-02    3.51e-02    1.94e-02
